翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
pc304,,,よし、メインシステムを見つけた。,Вот он! Центральный компьютер!,好，找到主系统了。,"좋아, 메인 시스템을 찾았어.",
,,,あとはこのロックを解除するだけだ。,Теперь нужно разблокировать Железную Дорогу.,接下来只要开锁就好。,이제 이 잠금 장치만 해제하면 돼.,
pc305,,,銀河鉄道のロックか……,Вот... Замок Железной Дороги.,银河铁道的锁啊……,은하철도의 잠금 장치인가......,
,,,なんだ？　この防御コードは……,Что это за код повсюду?,嗯？这什么东西，防御代码……？,이 방어 코드는 대체 뭐지......?,
pc306,,,外部から無理やり取り付けたのかな。,"Похоже, его прилепили наспех,",是从外部强行添加上去的吗？,외부에서 강제로 설치했나?,
,,,でも強引すぎて脆い構造になってる。,но довольно неуклюже.,但是手法太粗暴了，结构非常脆弱。,하지만 강제로 설치해서인지 구조가 약해.,
pc307,,,誰かの作った「鎖」か。これを解く方法は……,"Ничего, с чем бы я не справился.",就像第三者缠上的“锁链”。那么，解除方法……,"누군가가 ""자물쇠""를 만들었어, 이걸 열려면......",
pc308,,,――よし、完全掌握成功！,Я внутри! У меня полный доступ!,——好，完全掌握成功！,"……좋아, 완전 장악에 성공했어!",ルビ削除(240820）
pc309,,,切符をください。,"Ваш билет, пожалуйста.",请出示车票。,표를 보여 주십시오.,
pc310,,,僕、切符は持っていません,У меня... нет билета.,我没有车票……,표가 없는데요.,
pc311,,,持っているはずですよ。,"Разве, сынок?",你应该有的。,가지고 계실 겁니다.,
,,,探ってご覧なさい。,"Может, проверишь ещё раз.",找找看吧。,찾아 보십시오.,
pc312,,,気になる場所をクリックで調査,"Нажмите, чтобы осмотреть определённые области",点击可调查画面各处,수상한 곳을 클릭해 조사하세요.,
pc327,,,新着メッセージがあります,Получены новые сообщения.,您有新的消息,새로운 메시지가 있습니다.,
,,,- メッセージアプリ,- Мессенджер,- 消息软件,- 메시지 앱,
,,,- エーミール,- Эмиль,- 埃米尔,- 에밀,
pc314,エーミール,**:**,大丈夫か？　今、どこにいる？,"ДЖИО, ТЫ ГДЕ??????",你没事吧？你现在在哪里？,괜찮나? 지금 어디 있지?,
pc315,,,……！　エーミールさん……,Это Эмиль...!,……！埃米尔会长……,......!! 에밀 씨......,
,,,まさか、助けてくれようと？,Он мог бы мне помочь! Но...,难道他想帮我？,설마 도와 주시려는 건가?,
pc316,,,でも。もし、僕のせいでエーミールさんが……,…Я не могу его впутывать.,可是，要是因为我连累了会长……,하지만 그러면 나 때문에 에밀 씨가......,
pc317,,,ダメだ。言えるはずないな……,Он может попасть в беду.,不行，怎么可能说得出口……,안 돼. 대답할 수 없어......,
pc318,R・カレルレン,**:**,通達：,Предупреждение:,通告：,통지:,
,,, , , , ,
,,,本日中に,Студенты Галактической,若您未在今日之内，,오늘 중으로,
,,,プリマ・ゼウス銀河学園船,"Академии Прима Зевс, которые",于至上星主银河学园舰内,프리마 제우스 은하학교선에서,
,,,での共生プログラムを,не подчинятся требованиям,接受共生教育，,진행하는 공생 프로그램을,
,,,受講しない場合、,"Программы Симбиоза,",,"수강하지 않을 경우,",
,,,あなたは共生プログラムを,будут подвергнуты,您将永久失去共生课程的,공생 프로그램을 수강할,
,,,受講する権利を失います。,дисквалификации.,听讲权。,권리를 상실합니다.,
pc319,R・カレルレン,**:**,その場合、あなたの,"Кроме того, ваш человеческий балл",这种情况下，,권리가 사라지면,
,,,人間スコアは永久に,будет навсегда заморожен без,不但您的人类评分,당신의 인간 스코어는,
,,,復元されず、共生体に,"возможности восстановления. Вы, \FB\C[18]г-н",永远无法复原，,"평생 복원할 수 없으며,",
,,,おける\FB\C[18]ジョバンニ・,"\FB\C[18]Джованни Стайлус, и все члены",\FB\C[18]您和您的家人，,공생체 \FB\C[18]조반니 스타일러스,
,,,\FB\C[18]スタイラス様および,"\FB\C[18]вашей семьи, \FB\C[15]проживающие в",也将终身被剥夺,님 및 일가족\FB\C[15]에 제공되는,
,,,\FB\C[18]ご家族様\FB\C[15]の「衣食住」や,"Симбиоте Кареллена,",于共生体穿衣、进食、,"\FB\C[18]의식주나 의료 등\FB\C[15],",
,,,「医療」など,потеряют доступ ко \FB\C[18]всем,居住，接受医疗等,\FB\C[18]생명과 직결된 모든 권리\FB\C[15]가,
,,,\FB\C[18]生命に関する全ての権利\FB\C[15]が,"\FB\C[18]средствам для поддержания жизни\FB\C[15],",\FB\C[18]生命相关的一切权利\FB\C[15]。,즉시 박탈됩니다.,
,,,剥奪されます。,"включая, но не ограничиваясь:",,,
,,,,"пищей, жильём и медицинской помощью.",,,
pc345,R・カレルレン,**:**,同時に、共生体における,Ваш статус гражданина Симбиота,同时您的共生体公民档案，,"동시에, 공생체",
,,,市民登録と\FB\C[18]銀河学園の学籍\FB\C[15]が,и \FB\C[18]студента Галактической,以及\FB\C[18]银河学园学籍\FB\C[15]，,시민권과 \FB\C[18]은하학교 학적\FB\C[15],
,,,抹消されます。,Гимназии\FB\C[15] будет аннулирован.,都将一并注销。,역시 말소됩니다.,
pc320,R・カレルレン,**:**,ご了承のほど、,Мы очень ценим ваше понимание,提请注意。,이 점 양해해 주시기를,
,,,よろしくお願いいたします。,в данном вопросе.,,부탁드립니다.,
pc321,,,！,!,！,......!,
pc322,,,……生命に関する……権利……？,Средства... для поддержания жизни?,……生命相关的……一切权利……？,생명과 직결된...... 권리라고......?!,
pc346,,,ギムナジウムの学籍……,Аннулируют мой статус студента?,银河学园的学籍……,감나지움 학적이......,
pc364,,,…………,...,…………,............,
pc323,R・カレルレン,**:**,Ｒ・カレルレンは、,Несанкционированный доступ к,检测到针对R·卡列伦,저 R-카렐렌은,
,,,コアフレームへの,мейнфрейму Р. Кареллена,核心框架的越权访问请求，,코어 프레임에 대한,
,,,不正アクセスを検知し、,обнаружен.,,"부정 접속을 감지하였으며,",
,,,発信源をあなたの所持する,Источник был,已锁定您持有的个人终端,그 발신원이 당신이 보유한,
,,,PC端末と特定しました。,отслежен до вашего ПК.,为请求来源。,PC임을 확인하였습니다.,
pc324,R・カレルレン,**:**,ジョバンニ・スタイラス様、,"Г-н Джованни Стайлус,",乔班尼·斯泰拉斯先生，,조반니 스타일러스 님.,
,,,あなたの行動は共生体の,Вы нарушили,您的违法行为严重危害了,당신의 행동은 공생체의,
,,,安定した運営を脅かす,безопасность Симбиота.,共生体运营的安全与稳定，,안정과 운영을 위협하는,
,,,重大な犯罪です。,Это серьёзное преступление.,性质极为恶劣。,중대한 범죄 행위입니다.,
pc325,R・カレルレン,**:**,あなたの未登録PC端末の,Ваш незарегистрированный ПК,卡列伦已开始解析您的,당신이 보유한 미등록 PC,
,,,解析を開始しました。,теперь будет проанализирован.,未备案个人终端。,분석을 시작하였습니다.,
,,,完了次第、端末の制御権は,Я аннулировал ваши,解析完成后，终端的控制权,분석이 끝나면 제어권은,
,,,カレルレンに移動します。,права доступа.,将移交给卡列伦。,저 카렐렌에게 이관됩니다.,
pc326,R・カレルレン,**:**,既に該当端末の完全な複製が,Копия вашего устройства,卡列伦已获取该终端的完全,기기 복제 코드는 현재,
,,,カレルレンの記憶領域に,была создана и сохранена,拷贝，并多重备份于记忆空,제 기억 영역 여러 곳에,
,,,多重保存されています。,в моей базе данных.,间各处。,저장되어 있습니다.,
,,, , , , ,
,,,解析を中断しようとする,Любые попытки помешать,请注意，,해석을 막으려는 모든,
,,,あらゆる試みは無効です。,анализу запрещены., ,행위는 무효화됩니다.,
,,, , ,, ,
,,,ご了承のほど、,Ваше содействие,企图终止该解析过程的任何,이 점 양해해 주시기를,
,,,お願いいたします。,высоко ценится.,尝试皆为无用功。,부탁드립니다.,
pc328,R・カレルレン,**:**,こちらはＲ専用通路です。,Этот маршрут только для Р.,本通道为R专用通道。,여기는 R 전용 통로입니다.,
,,,案内に従い、速やかに,Немедленно подчинитесь и,请遵从引导，,안내에 따라 신속히,
,,,寮へお戻りください。,вернитесь в своё общежитие.,立刻返回您的房间。,기숙사로 돌아가십시오.,
pc329,R・カレルレン,**:**,こちらは立入禁止です,Несанкционированный вход запрещён.,此处禁止进入,진입 금지 구역입니다,
pc330,R・カレルレン,**:**,前へお進みください,"Пожалуйста, проходите.",请继续前进,전진하십시오,
pc331,R・カレルレン,**:**,右に曲がってください,"Пожалуйста, поверните направо.",请右转,오른쪽으로 향하십시오,
pc332,R・カレルレン,**:**,左に曲がってください,"Пожалуйста, поверните налево.",请左转,왼쪽으로 향하십시오,
pc333,R・カレルレン,**:**,後ろへお戻りください,"Пожалуйста, вернитесь назад.",请后退返回,뒤로 돌아가십시오,
pc334,,,[システムヘルスチェック],[Диагностика Системы],[系统健康诊断],[시스템 상태 확인],
,,,> システム診断を開始しています...,> Инициализация проверки системы...,> 正在诊断系统...,>시스템 진단 시작...,
,,,> コアフレーム群の98%が正常に作動中です...,> Центральный компьютер теперь работает с эффективностью 98%.,> 核心框架群98%运作正常...,">코어 프레임군, 98% 정상 작동 중...",
,,, , , , ,
,,,[警告],[ПРЕДУПРЕЖДЕНИЕ],[警告],[경고],
,,,> 未登録デバイスからの不正なアクセスを検知しました...,> Обнаружен доступ с незарегистрированного устройства.,> 检测到来自未备案设备的越权访问请求...,>미등록 기기의 불법 접근 감지...,
,,,> ネットワーク解析中......完了,> Анализ сети выполняется... Завершено.,> 正在进行网络分析......完成,>네트워크 분석 중...... 완료,
,,, , , , ,
,,,[解析結果],[Результаты Анализа],[分析结果],[해석 결과],
,,,> 侵入経路を特定しました： プリマ・ゼウス銀河学園船 基地局δ-65,> Место Доступа: командный терминал Прима Зевс δ-65,> 请求来源： 至上星主银河学园 δ-65基站,>침입 경로 확인: 프리마 제우스 은하학교선 δ-65 기지국,
,,,"> アクセス元のR-codeを特定しました: ""Boyhood""",> Указанный R-код: Отрочество,"> 已获取该设备的R-code: ""Boyhood""",">접속 기기 R-codes 확인: ""Boyhood""",
,,,> 攻撃は未知の手法によるものです...,> Метод несанкционированного доступа неизвестен.,> 攻击手法未知...,>공격 방식...... 알 수 없는 수법,
pc335,,,[対応の実行],[Активация Протоколов Защиты],[处理方法],[대응 실행],
,,,> アクセス元R-codeをブロックします...,> Блокировка указанного R-кода...,> 正在屏蔽该设备的R-code...,>접속 기기의 R-codes 차단...,
,,,> カレルレニア共生体規則に基づき、証拠保全を行います...,> Сохранение данных в соответствии с законом Симбиота Кареллена...,> 基于卡列伦尼亚共生体法规，留存相关证据...,">카렐레니아 공생체 규칙에 의거, 증거 확보 실시...",
,,,> アクセス記録の保存...完了,> Запись несанкционированного доступа в журнал активности... Завершено.,> 正在保存访问纪录...完成,>접속 기록 저장...... 완료,
,,,> アクセス元デバイスの完全なコピーの取得.........完了,> Создание копии неавторизованного устройства... Завершено.,> 完全拷贝请求方设备数据.........完成,>접속 기기의 완전 복사본 취득...... 완료,
,,, , , , ,
,,,[問題の解析],[Анализ Устройства],[问题分析],[문제 분석],
,,,> 仮想デバイスコピーを解析し、攻撃手法を特定します...,> Инициализация анализа устройства. Определение метода взлома...,> 利用拷贝资料创建虚拟机，解读攻击手段...,">복사한 가상 기기 해석, 공격 수단 확보...",
,,,> 解析開始：進捗率は0.1%です...,> Прогресс Анализа: 0.1%,> 开始分析：进度0.1%...,>해석 개시: 현재 진척률 0.1%...,
,,,> 解析終了までの残り時間は不明です...,> Оставшееся Время: Неизвестно,> 未能预估所需用时...,>해석 종료까지 남은 시간: 불명...,
pc336,,,[サーベイランスシステム起動],[Активация Системы Наблюдения],[启动监控系统],[감시 시스템 부팅],
,,,> システム起動中...,> Инициализация системы выполняется...,> 正在激活系统...,>시스템 부팅 중...,
,,,> 個別監視プロトコルを開始します...,> Активация протоколов частного наблюдения...,> 开始执行个体监视规程...,>개별 감시 프로토콜 개시...,
,,, , , , ,
,,,[監視対象の設定],[Настройки Наблюдения],[设置监视对象],[감시 대상 설정],
,,,"> 監視対象: ""ジョバンニ・スタイラス""",> Цель Наблюдения: Джованни Стайлус,"> 监视对象: ""乔班尼·斯泰拉斯""",">감시 대상: ""조반니 스타일러스""",
,,,> 監視優先度：「高」,> Приоритет Наблюдения: ВЫСОКИЙ,> 监视优先级：高,">감시 우선도: ""높음""",
,,,> 共生体法に基づく追跡手続きを開始します...,> Проверка разрешений Симбиота на целеуказание...,> 基于共生体法定流程，开始追踪...,">공생체 법률에 의거, 추적 절차 개시...",
,,,> 利用可能なすべてのデータストリームにアクセス中...完了,> Доступ к полному одобренному потоку данных... Завершено.,> 正在接入所有可用数据流...完成,>이용 가능한 모든 데이터 스트림에 접속 중... 완료,
pc337,,,[ステータス],[Статус],[运行状态],[상태],
,,,> 個別監視プロトコルは正常に動作しています...,> Протоколы частного наблюдения активированы.,> 个体监视规程正在运作...,">개별 감시 프로토콜, 정상 작동 중...",
,,,> ネットワーク上における通信の検閲が行われています...,> Проверка сетевой безопасности выполняется...,> 网络通信审查正在进行...,>네트워크 통신 검열 적용 중...,
,,,> 監視対象の現在位置を追跡しています...,> Отслеживание местоположения цели...,> 正在追踪监视对象当前所在位置...,>감시 대상의 현재 위치 추적 중...,
,,,> 監視対象のネットワーク上の活動を追跡しています...,> Отслеживание сетевой активности цели...,> 正在追踪监视对象网络活动痕迹...,>감시 대상의 네트워크 활동 추적 중...,
,,, , , , ,
,,,[対処],[Протокол Реагирования],[处理],[대처],
,,,> 監視対象の現在位置付近に実行部隊を配置します...,> Отправка агентов к последнему известному местоположению цели...,> 于监视对象所在地附近配置执勤小队...,>감시 대상의 현 위치 주변에 처리 부대 배치...,
,,,> 引き続き状態を注視します...,> Требуется непрерывный мониторинг.,> 继续关注对象状态...,">상태, 계속 주시 중...",
pc338,ジョバンニ,**:**,忘れさせてやる,Я заставлю тебя забыть меня.,让它忘记,삭제한다,"1話ラスト追加分です（7/11, かいだこ）"
pc339,ジョバンニ,**:**,ああそう。,Да. Именно так...,哦，是么？,"그래, 맞아.",
,,, , , , ,
,,,だったら、ハッキングで,Я просто взломаю тебя,那只要黑进你的脑子，,그렇다면 해킹으로,
,,,忘れさせてやるだけだ。,и сотру твою память.,让你忘了这回事就行。,전부 지워버리면 돼.,
,,, , , , ,
,,,どっちが早いか,"Всё сводится к тому, кто",来比比谁更快吧——,어느 쪽이 빠른지,
,,,勝負だな。,окажется быстрее.,二进制混蛋。,대결해 보자고.,
,,,二進法野郎。,"Так что давай, компьютерный мозг!",,이 이진법 자식.,
pc340,R・カレルレン,**:**,カレルレンの,"Я, Кареллен, обладаю",卡列伦的记忆领域，,저 카렐렌의,
,,,ストレージ領域は、,превосходной функцией,已实现99.999999999999%,저장 영역은,
,,,99.999999999999%の,"извлечения памяти,",年度耐用性。,연간 내구성 면에서,
,,,年間耐久性を,с точностью, ,99.999999999999%를,
,,,実現しています。,99.999999999999%.,,유지하고 있습니다.,
pc367,R・カレルレン,**:**,高度に冗長化された,Резервные серверы данных делают,以现代人类的能力，,현 인류의 능력으로,
,,,バックアップ領域全てを,мои данные непроницаемыми для,不可能通过黑客手段入侵,매우 광대한 양의,
,,,ハッキングすることは、,современных человеческих,高度冗余化的全部备份区,백업 영역을 전부,
,,,現代の人類の能力では,методов взлома.,域。,해킹하는 것은,
,,,不可能です。,Подобные попытки тщетны., ,불가능합니다.,
pc368,R・カレルレン,**:**,カレルレンは、,"Я, Кареллен, буду обновляться,",卡列伦还将持续更新迭代，,저 카렐렌은,
,,,共生体における全ての,чтобы защищать,致力于捍卫全人类的幸福,지속적인 업데이트로,
,,,人類の幸福と発展および,"процветание, безопасность",与发展，,공생체 내 모든 인류의,
,,,安全と秩序を守るため,и порядок всех существ,保障社会的安全与秩序。,"행복과 발전, 안전과",
,,,アップデートを続けます。,внутри Симбиота., ,질서를 지킬 것입니다.,
,,, , ,, ,
,,,人類の幸福を祈って、,"Навеки ваш,",愿全人类幸福，,"인류의 행복을 기원하며,",
pc341,,,[PC内操作],[Управление ПК],[电脑操作],[PC 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定",Подтверждение: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定",마우스 왼쪽 버튼/Enter/Space/Z: 결정,
,,,"右クリック／Esc,X　　　　：　戻る／PCを閉じる",Назад/Закрыть ПК: ПКМ или Esc/X,"鼠标右键／Esc,X键　　　： 返回 / 关闭电脑","마우스 오른쪽 버튼/Esc/X: 취소, PC 닫기",
,,, , ,,,
,,,[マップ内操作],[Управление картой],[地图操作],[지도 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定、調べる",Подтверждение/Взаимодействие: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定、调查","마우스 왼쪽 버튼/Enter/Space/Z: 결정, 조사",
,,,"PCアイコン／右クリック／Esc,X ：　PCを開く",Открыть ПК: ПКМ/выбрать значок ПК или Esc/X,"点击电脑图标／鼠标右键／Esc,X：　打开电脑",PC 아이콘 클릭/마우스 오른쪽 버튼/Esc/X: PC 닫기,
pc341_2,,,[PC内操作],[Управление ПК],[电脑操作],[PC 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定",Подтверждение: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定",마우스 왼쪽 버튼/Enter/Space/Z: 결정,
,,,"右クリック／Esc,X　　　　：　戻る／PCを閉じる",Назад/Закрыть ПК: ПКМ или Esc/X,"鼠标右键／Esc,X键　　　： 返回 / 关闭电脑","마우스 오른쪽 버튼/Esc/X: 취소, PC 닫기",
,,, , ,,,
,,,[マップ内操作],[Управление картой],[地图操作],[지도 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定、調べる",Подтверждение/Взаимодействие: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定、调查","마우스 왼쪽 버튼/Enter/Space/Z: 결정, 조사",
,,,"PCアイコン／右クリック／Esc,X ：　PCを開く",Открыть ПК: ПКМ/выбрать значок ПК или Esc/X,"点击电脑图标／鼠标右键／Esc,X：　打开电脑",PC 아이콘 클릭/마우스 오른쪽 버튼/Esc/X: PC 닫기,
,,, , , , ,
,,,[セーブについて],[О сохранении],[关于存档],[저장],
,,,１つのセーブデータを使用します。,Будет использоваться один слот для сохранения.,存档使用1个栏位。,하나의 저장 공간을 사용합니다.,
,,,オートセーブ機能に加え、,В дополнение к функции,除自动存档功能外，,자동 저장 기능 외에도,
,,,PC画面の【メニュー】から,"автосохранения, вы также можете сохранять",您也可以从电脑界面的【菜单】处,PC 화면의 [메뉴]에서,
,,,手動セーブも可能です。,игру через Меню ПК.,进行手动存档。,수동으로 저장할 수도 있습니다.,
,,,※最新のセーブデータは上書きされます。,Внимание: Ваши самые последние сохранённые данные будут перезаписаны.,注意：存档时会覆盖最新的数据。,※최신 저장 데이터를 덮어씁니다.,
,,, , , , ,
,,,[CHAPTERについて],[О главах],[关于章节],[CHAPTER 정보],
,,,過去のCHAPTERで選択を変更すると、,"Изменения, внесённые в ваши выборы",若您更改了过去章节中的选择，,이전 CHAPTER에서 선택을 변경하면,
,,,その後のCHAPTERにも影響が及ぶことが,"в предыдущих главах, могут повлиять",有可能会对未来章节中的情节,이후 CHAPTER 내용에 영향을,
,,,あります。,на будущие события.,产生影响。,줄 수 있습니다.,
pc342,,,[PC内操作],[Управление ПК],[电脑操作],[PC 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定",Подтверждение: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定",마우스 왼쪽 버튼/Enter/Space/Z: 결정,
,,,"右クリック／Esc,X　　　　：　戻る／PCを閉じる",Назад/Закрыть ПК: ПКМ или Esc/X,"鼠标右键／Esc,X键　　　： 返回 / 关闭电脑","마우스 오른쪽 버튼/Esc/X: 취소, PC 닫기",
,,, ,,,,
,,,[マップ内操作],[Управление картой],[地图操作],[지도 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定、調べる",Подтверждение/Взаимодействие: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定、调查","마우스 왼쪽 버튼/Enter/Space/Z: 결정, 조사",
,,,"PCアイコン／右クリック／Esc,X ：　PCを開く",Открыть ПК: ПКМ/выбрать значок ПК или Esc/X,"点击电脑图标／鼠标右键／Esc,X：　打开电脑",PC 아이콘 클릭/마우스 오른쪽 버튼/Esc/X: PC 닫기,
,,,ハッキングアイコン／E ：　ハッキング・エリア解析,Сканирование для взлома: выбрать значок взлома или E,点击骇解图标／E　　　　　　　：　骇入区域分析,해킹 아이콘 클릭/E: 해킹 지역 분석,
,,, , , , ,
,,,[セーブについて],[О сохранении],[关于存档],[저장],
,,,１つのセーブデータを使用します。,Будет использоваться один слот для сохранения.,存档使用1个栏位。,하나의 저장 공간을 사용합니다.,
,,,オートセーブ機能に加え、,В дополнение к функции,除自动存档功能外，,자동 저장 기능 외에도,
,,,PC画面の【メニュー】から,"автосохранения, вы также можете сохранять",您也可以从电脑界面的【菜单】处,PC 화면의 [메뉴]에서,
,,,手動セーブも可能です。,игру через Меню ПК.,进行手动存档。,수동으로 저장할 수도 있습니다.,
,,,※最新のセーブデータは上書きされます。,Внимание: Ваши самые последние сохранённые данные будут перезаписаны.,注意：存档时会覆盖最新的数据。,※최신 저장 데이터를 덮어씁니다.,
,,, , , , ,
,,,[CHAPTERについて],[О главах],[关于章节],[CHAPTER 정보],
,,,過去のCHAPTERで選択を変更すると、,"Изменения, внесённые в ваши выборы",若您更改了过去章节中的选择，,이전 CHAPTER에서 선택을 변경하면,
,,,その後のCHAPTERにも影響が及ぶことが,"в предыдущих главах, могут повлиять",有可能会对未来章节中的情节,이후 CHAPTER 내용에 영향을,
,,,あります。,на будущие события.,产生影响。,줄 수 있습니다.,
pc362,,,[PC内操作],[Управление ПК],[电脑操作],[PC 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定",Подтверждение: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定",마우스 왼쪽 버튼/Enter/Space/Z: 결정,
,,,"右クリック／Esc,X　　　　：　戻る／PCを閉じる",Назад/Закрыть ПК: ПКМ или Esc/X,"鼠标右键／Esc,X键　　　： 返回 / 关闭电脑","마우스 오른쪽 버튼/Esc/X: 취소, PC 닫기",
,,, ,,,,
,,,[マップ内操作],[Управление картой],[地图操作],[지도 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定、調べる",Подтверждение/Взаимодействие: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定、调查","마우스 왼쪽 버튼/Enter/Space/Z: 결정, 조사",
,,,"PCアイコン／右クリック／Esc,X ：　PCを開く",Открыть ПК: ПКМ/выбрать значок ПК или Esc/X,"点击电脑图标／鼠标右键／Esc,X：　打开电脑",PC 아이콘 클릭/마우스 오른쪽 버튼/Esc/X: PC 닫기,
,,,ハッキングアイコン／E ：　ハッキング・エリア解析,Сканирование для взлома: выбрать значок взлома или E,点击骇解图标／E　　　　　　　：　骇入区域分析,해킹 아이콘 클릭/E: 해킹 지역 분석,
,,,顔アイコン／C　　　　　　：　相談,Чат: выбрать значок лица или C,点击头像图标／C　　　　：　商谈,얼굴 아이콘 클릭/C: 대화,
,,, , , , ,
,,,[セーブについて],[О сохранении],[关于存档],[저장],
,,,１つのセーブデータを使用します。,Будет использоваться один слот для сохранения.,存档使用1个栏位。,하나의 저장 공간을 사용합니다.,
,,,オートセーブ機能に加え、,В дополнение к функции,除自动存档功能外，,자동 저장 기능 외에도,
,,,PC画面の【メニュー】から,"автосохранения, вы также можете сохранять",您也可以从电脑界面的【菜单】处,PC 화면의 [메뉴]에서,
,,,手動セーブも可能です。,игру через Меню ПК.,进行手动存档。,수동으로 저장할 수도 있습니다.,
,,,※最新のセーブデータは上書きされます。,Внимание: Ваши самые последние сохранённые данные будут перезаписаны.,注意：存档时会覆盖最新的数据。,※최신 저장 데이터를 덮어씁니다.,
,,, , , , ,
,,,[CHAPTERについて],[О главах],[关于章节],[CHAPTER 정보],
,,,過去のCHAPTERで選択を変更すると、,"Изменения, внесённые в ваши выборы",若您更改了过去章节中的选择，,이전 CHAPTER에서 선택을 변경하면,
,,,その後のCHAPTERにも影響が及ぶことが,"в предыдущих главах, могут повлиять",有可能会对未来章节中的情节,이후 CHAPTER 내용에 영향을,
,,,あります。,на будущие события.,产生影响。,줄 수 있습니다.,
pc363,,,[PC内操作],[Управление ПК],[电脑操作],[PC 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定",Подтверждение: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定",마우스 왼쪽 버튼/Enter/Space/Z: 결정,
,,,"右クリック／Esc,X　　　　：　戻る／PCを閉じる",Назад/Закрыть ПК: ПКМ или Esc/X,"鼠标右键／Esc,X键　　　： 返回 / 关闭电脑","마우스 오른쪽 버튼/Esc/X: 취소, PC 닫기",
,,, ,,,,
,,,[マップ内操作],[Управление картой],[地图操作],[지도 내 조작],
,,,"マウス選択／→↓↑←,WASD ：　移動",Перемещение: ЛКМ или →↓↑←/WASD,"鼠标点选／→↓↑←,WASD ：　移动",마우스 조작/→↓↑←/WASD: 이동,
,,,"左クリック／Enter,Space,Z ：　決定、調べる",Подтверждение/Взаимодействие: ЛКМ или Enter/Пробел/Z,"鼠标左键／Enter,Space,Z ：　确定、调查","마우스 왼쪽 버튼/Enter/Space/Z: 결정, 조사",
,,,"PCアイコン／右クリック／Esc,X ：　PCを開く",Открыть ПК: ПКМ/выбрать значок ПК или Esc/X,"点击电脑图标／鼠标右键／Esc,X：　打开电脑",PC 아이콘 클릭/마우스 오른쪽 버튼/Esc/X: PC 닫기,
,,,ハッキングアイコン／E ：　ハッキング・エリア解析,Сканирование для взлома: выбрать значок взлома или E,点击骇解图标／E　　　　　　　：　骇入区域分析,해킹 아이콘 클릭/E: 해킹 지역 분석,
,,,顔アイコン／C　　　　　　：　相談,Чат: выбрать значок лица или C,点击头像图标／C　　　　：　商谈,얼굴 아이콘 클릭/C: 대화,
