翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,図形の視認が中途半端だったり、,\CO[679]Макет 1,你可以同时把不同尺寸的版本画在旁边来解决这个问题。,대비책으로 크기가 다른 도형을 여러 곳에 새기도록 해.,
,,,図形が視野に入りきらなかった場合は,\CO[680]Макет 2,\CO[679]配置示例1,\CO[679]배치 예시 1,
,,,効果を発揮しないから気をつけること。, ,\CO[680]配置示例2,\CO[680]배치 예시 2,
,,,対策としては、サイズの違うものを同時に描くと良い。,"А, и ещё кое-что:", , ,
,,,\CO[679]配置例1,Я также сделал версию для маскировки звука под названием «ревербер».,还有一样东西，是它的音频版。,한 가지 더.,
,,,\CO[680]配置例2,Его узор способен интерферировать со звуковыми волнами.,音频版的名字叫“希声”。,"이를 음성으로 치환한 것이 ""에코립스""다.",
,,, ,"R, которые его сканируют, не смогут улавливать звуки в области.",“希声”是一种带有特征的声波样式。,이건 특정 주파수 패턴을 사용하지.,
,,,もうひとつ。, ,只要R听到的声音里包含这种样式，,"이 패턴을 내보내는 한, R은 음성을 인식할 수 없어.",
,,,その音声バージョンが「エコリプス」だ。,"К сожалению, сейчас я мало чем ещё могу тебе помочь,",它们就无法辨识声音的内容。, ,
,,,こっちは特定の周波数パターンだ。,"но надеюсь, это поможет в борьбе против Кареллен.", ,내가 줄 수 있는 건 이 정도뿐이로구나.,
,,,そのパターンがＲに聞こえている限り、, ,我能留给你的只有这些了。,하지만 카렐렌에게는 유효할 거야.,
,,,奴らはそこで流れている音声を認識できない。,"Удачи тебе там, малявка. Я буду за тебя молиться.",不过，它们对付卡列伦应该是有效的。, ,
,,, , , ,행운을 비마.,
,,,俺が残せるものはこれくらいしかない。,И.С.,祝你好运。, ,
,,,だが、カレルレンには有効なはずだ。,, ,창시자가,
,,, ,,创始人,,
,,,幸運を祈る。,,,,
,,, ,,,,
,,,創始者,,,,
pc603,ジョバンニ,,……この文体、どう考えてもアイツだ。,"...Я знаю, кто это написал. Это он.",……这行文，绝对是那个人写的。,"……이 글씨, 어떻게 봐도 그 작자야.",
pc604,ジョバンニ,,創始者……,«Основатель Нулевого Дня»... Папа.,创始人……,창시자라……,
pc605,ジェム実装計画.txt,,ドクへ,"Док,",大夫：,독에게,
,,, , , , ,
,,,「ジェム」の解析報告をありがとう。,Спасибо за всю твою усердную работу над отчётами по «НейраДжему».,辛苦你研究“神经宝石”，解析报告我看过了。,"젬 해석 보고서, 잘 받았어.",
,,, , , , ,
,,,> いくつかサンプルが手に入ったので解析した。,> Я провёл диагностику нескольких найденных образцов.,> 最近正好得到几个样品，我做了解析。,> 획득한 샘플 몇 개를 해석해 봤다.,
,,,> 頭蓋骨に埋め込む小さな端末だ。,"> Похоже, это микроустройства, имплантированные в череп.",> 它是一种植入头骨的小型终端。,> 두개골에 넣는 소형 단말기야.,
,,,> 脳のいくつかの部位に物理的な配線を行うことで、,"> Как только они устанавливают связь с мозгом субъекта,",> 利用实体线缆连接某些大脑部位后，,> 물리적으로 뇌 곳곳에 선을 연결해,
,,,> レンズやイヤホンなしでの情報の投影を,> они способны проецировать данные без линз,> 可以直接将视听觉信息投影过去，,> 렌즈나 이어폰 없이도 정보 투영을,
,,,> 可能にしているようだ。,> или динамиков.,> 无需眼镜、耳机等设备辅助。,> 가능케 하는 기기 같다.,
,,, , , , ,
,,,驚いた。本当に悪影響はないんだな？,"Эта технология звучит невероятно, но у неё должны быть побочные эффекты.",这个发现很惊人啊。你确定对人体没有影响是吧？,놀라운 내용이었어. 정말 악영향은 없는 거야?,
,,, , , , ,
,,,確かにハイヴでも使えたら便利だと思うが、,"Было бы удобно, если бы мы могли использовать её в Просторах, но мы",如果大家能用上这个确实很方便，,"하이브에서도 쓸 수 있다면 상당히 편리하겠지만,",
,,,カレルレン様に繋がってしまうのはいただけないな。,не можем рисковать установлением удалённого соединения с Кареллен.,但它们偷偷给卡列伦大人通风报信就不大合适了。,카렐렌에 연결되는 것만큼은 피해야겠는걸.,
,,, , , , ,
,,,考えたが、地下サーバーを独自に用意して、,"Короче говоря, я подумал, что будет лучше создать наш",我想了一下，咱们能不能准备一台独立的地下服务器，,"그래서 말인데, 지하에 자체 서버를 만들어",
,,,ハブにするのはどうだろう？,собственный частный сервер под землёй.,作为数据中枢？,허브로 사용하는 건 어때?,
,,,ハイヴ内ネットの整備もそろそろ進めたいし、,"В смысле, давно пора, верно? Особенно учитывая, что нам всё равно нужна",正好，也是时候把巢里的通信网搭起来了。,슬슬 하이브 내부 네트워크 준비도,
,,,ちょうどいいんじゃないかな。,"такого рода инфраструктура здесь, внизу.", ,"진행하고 싶으니, 지금이 적기 같은데.",
,,, , ,, ,
,,,ネット整備はカイトに頼んでおくから、,"Я оставляю Кайто ответственным за настройку сети, так что",网络的事我会交给凯特去做，,"네트워크 정비는 카이트에게 부탁할 테니,",
,,,お前は埋め込み方法の確立を頼む。,"просто продолжай исследовать методы имплантации Джемов, хорошо?",你就专心研究宝石，确定一套植入人体的流程吧。,넌 삽입 방식을 고안해 줘.,
,,, , , , ,
,,,Wi,Ви,Wi,Wi가,
pc587,,,exeファイルか。解析してる時間はないし……,"Программа... У меня нет времени её сканировать,",是个exe程序。暂时没时间解析……,exe 파일이네. 해석할 시간은 없겠어……,
,,,念のため、先に他のファイルを確認しよう。,сначала проверю другие файлы.,以防万一，先看看别的文件吧。,일단 다른 파일부터 확인해 보자.,
pc591,,,パスワード？　わからないな……,Чёрт... Я не знаю пароль.,密码？会是什么啊……,비밀 번호잖아? 이건 모르는데……,
day22_add16,スプロール・ハイヴ一時チャット,**:**,あ……,Ох...,啊……,아……,
,,,子供達ですか？,Дети?,你问孩子们吗？,아이들?,
,,,もう寝てますよ,Они крепко спят.,都已经睡着啦,지금 막 잠들었어.,
day22_add17,スプロール・ハイヴ一時チャット,**:**,みんな寝顔がかわいくて。,Разве тебе не хочется,大家的睡脸都很可爱,사랑스럽게 곤히,
,,,あの顔を見てると,ущипнуть их за щёчки?,看着他们,잠든 모습을 보면,
,,,明日も頑張ろうって,"Они — то, что даёт мне силы",就觉得明天也要,내일도 힘내자는,
,,,思えるんです。,каждый день.,继续努力呀。,생각을 하게 돼.,
pc610,Wi,**:**,ハッキングを続けろ。,Продолжай в том же духе.,你继续破解。,해킹을 계속해.,
,,,あたしはここで,"Я буду сдерживать их,",我留在这里，,나는 여기에서,
,,,敵を食い止める。,пока ты работаешь.,拦住敌人。,적을 막을게.,
pc611,,,Wi……？,Ви...?,Wi……？,"Wi, 너……?",
pc612,Wi,**:**,ドリーマーのパスワードは,Пароль от «Мечтателя» —,梦想家的密码，,드리머의 비밀번호는,
,,,「UtaYume」,"""UtaYume""",是“UtaYume”。,"""UtaYume""다.",
,,,あたしと妹の本名だ。,Настоящее имя моей сестры.,我和我妹的真名。,나와 여동생의 본명이야.,
pc613,Wi,**:**,使い方を説明する,У меня нет времени вводить,眼下没时间,사용법을 알려줄,
,,,時間はない。,тебя в курс дела.,给你讲用法了。,시간은 없겠네.,
pc614,Wi,**:**,とにかく,Так что просто слушай.,总之，,"일단, 마크의 본체가",
,,,マーク本体に辿り着いたら、,"Как только найдёшь Марка,",一旦你找到马克的主机，,"있는 곳에 도착하면,",
,,,隙を作り,создай возможность,就制造机会，,기회를 노려,
,,,このソフトを実行しろ。,и запусти эту программу.,执行这个程序。,이 프로그램을 실행해.,
pc615,Wi,**:**,あんたに賭けることにした。,Я решила поставить всё на,我决定把宝押在你身上。,나머지는 너에게 맡길게.,
,,,,тебя., , ,
,,,これ単体ではまだ, ,单靠“梦想家”的话，,이 프로그램만으로는,
,,,不安だったが、あんたの,"Это всего лишь прототип,",还不是很稳妥……,"불안했지만, 네가 지닌",
,,,イデアル・ハックと,"так что гарантий нет,",但如果配合你的,아이디얼 해킹과,
,,,組み合わせれば,но в сочетании с твоим,“理想骇解”，,하나로 합치면,
,,,R・マークを乗っ取れる,"Идеальным Взломом,",应该很有希望抢来,R-마크의 제어권을,
,,,かもしれない。,он должен позволить тебе,R马克的控制权。,빼앗을 수 있을 거야.,
,,,,перехватить управление R. Марком., ,,
pc616,,,はぁ……！？,А?!,啥……？！,뭐……?!,
pc617,ジョバンニ,**:**,どういうつもりだ？,Что ты собираешься делать?,你是打算死在这吗？,대체 왜 그래?,
,,,まさか死ぬつもりか？,"Не говори мне, что ты",干嘛跟我说这些？！,"설마, 죽을 셈이야?",
,,,,собираешься пожертвовать,,,
,,,,собой?!,,,
pc618,Wi,**:**,死ぬためじゃないよ。,Я не собираюсь умирать.,我做这个选择，,죽으려는 게 아니야.,
pc619,Wi,**:**,これは、あたしたちが,"Это единственный план, который",不是为了死。,우리가 살아남기 위한,
,,,生きるための選択だ。,даёт нам шанс,而是为了我们能活下去。,선택을 한 것뿐이지.,
,,,,выжить в этой ситуации.,,,
pc620,Wi,**:**,ジョバンニ、お前に,"Джованни,",乔班尼，,"……조반니, 너에게",
,,,ゼロデイを託す。,Я оставляю «Нулевой День»,零日就托付给你了。,Zero Day를 맡길게.,
,,,,на тебя.,,,
pc621,Wi,**:**,お前はゼロデイの,"Ты — наша величайшая надежда,",你是零日的杀手锏，,넌 우리 Zero Day의,
,,,必殺技で、,и отныне — наш,而且从今往后，,"비밀 병기이자,",
,,,これからはリーダーだ。,лидер.,也是零日的新首领了。,이제부터 네가 리더야.,
pc622,,,何……言ってるんだ？,Что ты такое говоришь?,她……她在说什么？,……뭐?,
,,,Wiのやつ……正気か？,Ты ведь не серьёзно!,开玩笑的吧？,Wi…… 진심이야?,
pc623,Wi,**:**,ロックの解除は,Почти закончил взламывать,锁开得差不多了吧？,잠금 장치도 슬슬,
,,,そろそろ終わるな？,его?,,다 풀렸겠지?,
pc624,Wi,**:**,扉の中に入ったら、,"Как только сделаешь, залезай",等你们一进门，,안으로 들어가면,
,,,すぐにロックをかけろ。,внутрь и немедленно запри,就立刻把门锁上。,바로 문을 잠그도록 해.,
,,,爆風が入ってくる,дверь. Тебя может немного,否则可能会被,폭발로 인한 후폭풍이,
,,,かもしれない。,"тряхнуть от ударной волны,",爆炸气浪掀翻。,들어올지도 모르니까.,
,,,,правда.,,,
pc625,Wi,**:**,その後の判断は,Со всем остальным тебе придётся,之后的一切，,이후 판단은 전부,
,,,すべてお前に任せる。,разобраться самому.,都交给你判断了。,너에게 맡길게.,
pc626,Wi,**:**,負けるなよ、,Ты справишься.,可别输啊，,지지 말라고.,
,,,リーダー。,"Мы все на тебя рассчитываем,",首领。,……리더.,
,,,,босс.,,,
pc627,,,……あっさり侵入できたな。,...Взломал в два счёта.,……一下子就入侵成功了。,……의외로 쉽게 침투했어.,
pc628,,,セキュリティも壊せそうだし。,Защиту тоже пробил.,安保措施也不堪一击，,"보안도 무너뜨릴 수 있을 것 같고,",
,,,どんなことでもできるんじゃないか……,"Посмотрим, на что эта штука способна на самом деле.",这岂不是任我摆布……,뭐든 명령할 수 있을 것 같아……,
pc629,,,……そうだ。このシステムを、こうして……,Так. Теперь я настрою систему вот так...,……对了。把这个系统，这样……,"……그래, 이 시스템을 이렇게 해서……",
pc630,,,ここに介入すれば、,"Может, я смогу перехватить его связь и",只要介入这个部分，,여기에 개입하면 카렐렌처럼,
,,,カレルレンからの通信を偽装できるかもしれない……,замаскировать свои команды под команды Кареллен?,或许能伪装成来自卡列伦的通讯……,통신 내용을 조작할 수 있을 거야……,
pc631,,,……プロトコルは大体理解した。,"Так, вот их протоколы... Есть!",……大致搞懂通信规程了。,……프로토콜은 대충 알겠어.,
,,,これでいつでも割り込めるようになったな。,"Теперь я могу переопределить его команды, когда захочу.",这样就能随时拦截了。,이제 언제든 끼어들 수 있을 거야.,
pc632,,,……さて、何をしてやろうか……,"Так, с чего бы начать куролесить...",……那么，让它做什么好呢……,"……그럼, 뭘 해볼까……",
pc667,,,視覚に偽装映像を投射,Наложить обманчивый видеопоток,投射虚假的视觉影像,시각에 위장 영상을 투사한다,
pc633,ラビ,**:**,待たせたな！！！,"Похоже, это работа для меня!",等很久了吧！！！,기다렸지!!!,
,,,隠し玉、ラビ様の登場だ！！,"Скрытый козырь,",最强底牌拉比大爷登场！！,"비장의 카드, 라비님 등장이다!!",
,,,,изумительный Раби!,,,
pc634,ラビ,**:**,動くなよ,Ни с места!,瞧着吧！,움직이지 말라고.,
,,,オレ様が『道』を作ってやる,"Я проложу тебе ""путь"" отсюда!",我给你开出一条“路”来！,"""길""은 내가 만들 테니까.",
pc635,,,………………,...,…………,………………,
pc636,,,……必殺技…….,Их «величайшая надежда»...,……杀手锏……,……비밀 병기라니…….,
pc637,,,おかしいよ。,Я? Серьёзно?,我？就凭我……,말도 안 돼.,
,,,必殺技なんて……そんなわけないだろ。僕なんかが。,Я никогда не смогу быть чьей-то «величайшей надеждой».,怎么可能是什么杀手锏？,나 따위가…… 비밀 병기일 리 없잖아.,
pc638,,,どいつもこいつも……,Кого она обманывает? Всё бесполезно.,一个两个，全都这样……,"이 녀석도, 저 녀석도……",
pc639,,,無理に決まってるんだよ。こんな状況で。,Мы были обречены с самого начала.,这种局面，别强人所难啊！,다들 무모한 짓만 하고…,
pc640,,,いい加減にしろよ。もうたくさんだ……,Каким образом нам их победить?,别再来这种事了，我真的受够了……,"그만 해, 더는 못 보겠어……",
pc640-2,,,イデアル・ハックを続ける,Продолжить Идеальный Взлом,继续理想骇解,아이디얼 해킹을 계속한다,
pc641,,,……いやだ………いやだよ、Wi……,"Пожалуйста, Ви... Пожалуйста...",……我不要……我不想你死……,"싫어……… Wi, 그러지 마……",
,,,死なないで……,"Пожалуйста, не умирай.",……你别死啊，Wi……,죽지 마……,
pc642,,,いくら勝てたって……,"Даже если мы победим,",落得这个结局……,여기서 이겨도……,
pc643,,,こんなの…….いやだ……,я не справлюсь без тебя.,就算我赢了……又怎么样啊……,이런 결과는…… 싫어……,
pc644-a,マーク,**:**,ママ！　ママ！！！！,Мама! Мама!!!!,妈妈！妈妈！！！！,엄마! 엄마!!!!,
,,,ほんものだ……,Это правда ты...,是真的……,진짜야……,
pc644-b,マーク,**:**,ずっと会いたかったよ。,Я так по тебе скучал.,我一直想见你。,계속 보고 싶었어.,
,,,ずっと。,Так сильно...,一直……,정말로……,
pc644-c,ジョバンニ,**:**,待たせてごめん,Прости за ожидание.,让你久等了。,기다리게 해서 미안.,
pc644-d,ジョバンニ,**:**,待たせてごめんね。,"Извини, что заставила ждать.",让你久等了。,기다리게 해서 미안.,
,,,マーク。,Марк.,马克。,마크.,
pc644-e,マーク,**:**,いいんだ。,Всё в порядке.,没关系。,괜찮아.,
,,,帰ってきてくれたから。,Теперь ты здесь.,你回来了就好。,돌아와 줘서 고마워.,
pc644-f,マーク,**:**,ねえ。,"Ты хочешь,",喂。,있지.,
,,,何かして欲しいことは,"чтобы я что-нибудь",你想让我,뭐든지 해줄게.,
,,,ある？,"для тебя сделал?",做什么吗？,원하는 거 있어?,
,,,指示をちょうだい、ママ。,"Отдавай приказы, Мама.",给我指示吧，妈妈。,"지시를 내려줘, 엄마.",
pc644,ジョバンニ,**:**,紅友隊の撤退を要請する,Приказать РЭД отступить,要求红友队撤退,카렐렌에게 연락해,
pc645,ジョバンニ,**:**,カレルレンに連絡して。,Связаться с Кареллен.,你联系卡列伦，,홍우대 철수를 요청하거라.,
,,,この星のネズミの掃討と,"Сказать ей, что с крысами и",就说这里的老鼠已经扫荡干净，,이 행성의 쥐 소탕과,
,,,指名手配犯の討伐を完了。,преступниками на этой,通缉犯也都杀了。,지명수배범 토벌은 끝났어.,
,,,紅友隊は撤退するように。,планете было,叫红友队撤退。,홍우대는 그만 돌려보내도 돼.,
,,,,покончено.,,,
,,,,Силы РЭД могут,,,
,,,,теперь отступить.,,,
pc646,マーク,**:**,わかったよ、ママ。,"Хорошо, хорошо.",知道了，妈妈。,"알았어, 엄마.",
,,,早く帰ってもらおう。,Ты можешь теперь вернуться,我马上让他们走。,빨라 돌아가라고 할게.,
,,,,"домой, Мама?",,,
pc647,マーク,**:**,カレルレンが要請を受諾。,Кареллен приняла,卡列伦已同意申请。,카렐렌이 요청을 수락했어.,
,,,紅友隊は１０分後までに,запрос.,红友队会在十分钟内,홍우대는 10분 내로,
,,,撤退するって。,Все силы РЭД отступят,完成撤退。,철수한대.,
,,,,в течение десяти минут.,,,
pc648,マーク,**:**,他に何か,"Есть что-нибудь ещё, что",还有什么事,이제,
,,,やることはある？,"ты хотела бы, чтобы я сделал?",需要我做的吗？,또 뭘 하면 돼?,
pc649,ジョバンニ,**:**,地下の生存者を捜索,Поискать признаки жизни внизу,搜索地下的幸存者,지하 생존자 수색,
pc650,ジョバンニ,**:**,紅友隊の入ってた,"Исследовать подземные руины,",你去探索红友队之前,홍우대가 들어간,
,,,地下遺跡を探索。,куда отправились силы РЭД.,进入的地下遗迹。,지하 유적 쪽을 탐색해.,
,,,生存者を回収して。,Спасти всех выживших.,把幸存者都找回来。,"생존자는 회수하고,",
,,,必要があれば治療も。,И оказать медицинскую,有需要的话给予治疗。,필요하다면 치료해.,
,,, ,"помощь, если потребуется.", , ,
,,,ただし、危害は, ,但是你要记住，,"단, 절대로",
,,,絶対に加えないように。,Однако ни при каких,绝对不可以伤害他们。,해는 끼치지 마.,
,,,向こうから攻撃してきても,обстоятельствах,就算对方主动攻击你，,그쪽에서 공격해도,
,,,反撃は許可しない。,ты не должен причинять вред.,你也不可以反击。,반격하면 안 돼.,
,,,,Понял?,,,
,,,,"Даже если на тебя нападут,",,,
,,,,ты не должен защищаться,,,
,,,,сам.,,,
pc651,マーク,**:**,わかった。,Хорошо.,好。,알았어.,
,,,人間を探すなら,Если мы ищем,既然要找人类，,주민 전원을 동원해,
,,,住民のみんなを,"людей, возможно, нам",我让星球上的居民,인간을 찾아보는 게,
,,,動かそうかな。,следует мобилизовать,来帮忙好了。,좋겠네.,
,,, ,местных жителей., , ,
,,,順番に地下に送るよ。, ,我会依序送他们去地下找人。,순서대로 지하로 보낼게.,
,,,任せて。,"Я распоряжусь, чтобы их",放心交给我吧。,내게 맡겨.,
,,,,отправили в подземелье.,,,
,,,,Предоставь это мне.,,,
pc652,ジョバンニ,**:**,ドクの画像を添付する,Прикрепить фото Дока.,出示大夫的照片,독의 이미지 전송,
pc653,ジョバンニ,**:**,あと、,"Также,",还有，,"하나 더,",
,,,画像の男性を発見したら,как только найдёшь человека,如果找到照片上这个男人，,이 사람을 발견하면,
,,,最優先で保護してほしい。,"на изображении,",你要以救助他为最优先。,가장 먼저 보호해 줘.,
,,,,защищай его любой ценой.,,,
pc654,ジョバンニ,**:**,もしも暴れたら、,"Если он враждебен, просто",如果他激烈抵抗，,만약 거칠게 나오면,
,,,「ジョバンニ」の名前を,"назови ему имя «Джованни»",就对他说“乔班尼”,조반니라는 이름과,
,,,出して、「僕は勝った」,"и скажи, что он победил.",要你转告他“我赢了”,"함께 ""내가 이겼다""고",
,,,って伝えて。, ,这句话。,전해줘.,
,,,そしたら大人しくなるはず。,После этого он будет,他应该就不会抵抗了。,그러면 얌전해질 거야.,
,,,,сотрудничать.,,,
pc655,マーク,**:**,了解。伝達したよ。,Понял. Я передам,好。我通告下去了。,알겠어. 전달할게.,
,,,,сообщение.,,,
pc656,マーク,**:**,これから,"Итак,",今后，,다음에는 뭘,
,,,どうすればいい？,что нам теперь делать?,我应该怎么办呢？,하면 돼?,
pc657,ジョバンニ,**:**,少し考えさせて,Погоди. Я думаю.,让我考虑一下,조금 생각해 볼게,
pc658,ジョバンニ,**:**,疲れたから、,"Я довольно вымотана, так что",我有点累了，,"피곤하니,",
,,,少し考えさせて。,мне нужно время подумать.,让我考虑一下吧。,조금 생각해 볼게.,
pc659,マーク,**:**,うん。待ってるね。,Хорошо. Не торопись.,嗯。好。等你。,"응, 기다릴게.",
pc660,ジョバンニ,**:**,墓に案内してもらう,Отведи нас к гробнице Молли.,让它带路去莫莉的坟墓,무덤 안내를 부탁하자.,
pc661,ジョバンニ,**:**,私の墓に行きたい。,Я хочу увидеть свою гробницу.,我想去看看自己的墓。,무덤에 가고 싶어.,
,,,通行制限がかかってたら,Если есть какие-либо ограничения,如果遇到通行限制，,통행 제한이 있다면,
,,,解除して。,"на вход,",你就帮我解除一下。,해제해 줘.,
,,,一応、座標も,сними их для меня.,以防万一，,일단 좌표도,
,,,確認したい。,"Также, пришли мне их",座标也给我一份。,확인하고 싶어.,
,,,,координаты.,,,
pc662,マーク,**:**,わかった。解除したよ。,Понял. Ограничения сняты.,好。已经解除了。,알겠어. 해제할게.,
,,,座標も送るね。,Отправляю координаты.,我把座标也发给你。,좌표도 보낼게.,
pc679,マーク,**:**,添付データ：thegrave.gml,Вложение: могила.gml,附件：thegrave.gml,첨부 데이터: thegrave.gml,
pc663,,,親愛なるモーリアン市民の皆さん,Возлюбленные граждане Моллиана.,亲爱的各位莫莉安公民，,친애하는 모리안의 시민 여러분.,
,,, , , , ,
,,,私の誕生日に集まってくれてありがとう。,Моя глубочайшая благодарность за посещение празднования моего дня рождения.,感谢大家在我的生日这天前来祝贺。,제 생일에 와 주셔서 고마워요.,
,,,本日、このモーリィ・ハウスでお話ができることを,"Для меня большая честь находиться здесь, в Светлом Доме,",本日能在莫莉公馆发表演讲，,"오늘, 이 몰리 하우스에서 이야기를",
,,,心から光栄に思います。 ,и говорить со всеми вами.,我感到无上的光荣。,나눌 수 있게 되어 진심으로 영광입니다.,
,,, , , , ,
,,,私はこれまでの人生を、,"Всё, ради чего я трудилась всю свою жизнь,",迄今为止，,전 지금까지 인류의 미래를 위해,
,,,人類の未来のために捧げてきました。,было ради будущего человечества.,我一直为了人类的未来奉献人生。,인생을 바쳤습니다.,
,,,故郷を飛び出し、,"Кажется, ещё только вчера я покинула свой дом",我飞出故乡，找到这里——,"고향을 나와,",
,,,このモーリアンを発見した日のことが、,и основала здесь нашу чудесную Республику.,莫莉安星那天的回忆，,이곳 모리안을 발견한 일이,
,,,まるで昨日のことのようです。,"Боже, как летит время.",还像昨天一样历历在目。,마치 어제 일처럼 생생하네요.,
,,, , , , ,
,,,あの瞬間から長い月日を、,С тех пор я посвящала каждый свой день,从那一瞬间开始，我与这颗星球,그 뒤로 이 별과 함께,
,,,この星と共に歩んできました。,улучшению нашей планеты.,共同走过了漫长的岁月。,긴 세월을 함께 해왔죠.,
,,,発見。発明。発展。,Ради науки. Ради открытий. Ради прогресса.,发现、发明、发展。,"발견, 발명, 그리고 발전, 미래를 향한",
,,,未来のためのプロジェクトは、おおむね達成されました。,Мой проект для будущего почти завершён.,为了人类能更好生活的项目大多已经完成。,프로젝트는 대부분 끝났습니다.,
,,,皆さんは今、この星で不自由のない暮らしを,"Каждый на этой планете может жить жизнью,",诸位如今在这颗星球上丰衣足食，,지금 여러분은 이 행성에서,
,,,送ることができています。,"полной свободы, и я не могла бы и просить о большем.",过上了无拘无束的生活。,자유로운 삶을 살고 있죠.,
,,, , , , ,
,,, , , , ,
,,,一方…………,Кроме...,但与此同时呢…………,하지만…………,
,,, , , , ,
,,,:(,:(,:(,:(,
,,, , , , ,
,,,モーリィ・リースは不自由です。,Молли Райсс не свободна.,莫莉·莉斯就没那么自由了。,저 몰리 리스는 자유를 얻지 못했습니다.,
,,,監禁され、SF小説も取り上げられ、カラスちゃんとの,"Её заперли, её научно-фантастические романы конфисковали,",又是关我禁闭，又收走我的科幻小说，,"감금당하고, SF 소설도 빼앗긴 채,",
,,,おしゃべりも禁じられてしまいました。,и ей запретили разговаривать с её маленькой вороной.,就连我想跟我的小乌鸦聊聊天都不许。,사랑하는 까마귀와 이야기하지도 못했죠.,
,,,誕生日のスピーチ原稿作成のために整えられた環境です。,"Всё ради того, чтобы она могла написать поздравительную речь. Как чудесно.",这个房间还是特地为了让我写诞辰的讲稿而准备的。,생일 연설 원고 작성에 최적화된 환경이죠.,
,,,最高ね。これが90歳の老人にすることかしら？,"Они и правда знают, как обращаться с 90-летней женщиной!",可真是有心啊。你们就这么对待一个90岁的老人吗？,끝내주네. 이게 90세 늙은이에게 할 짓이야?,
,,,（老いって死語なの？）,(Это бестактно с моей стороны — говорить такое?),（现在“老人”这词是不是都作废了？）,"(""늙었다""도 지금은 사어라며?)",
,,, , , , ,
,,,ヤダヤダヤダ！！,"На это я скажу: НЕТ, НЕТ, и НЕТ!",开门开门开门！！,"싫어, 싫어, 싫단 말이야!",
,,,遊びたい遊びたい遊びたい！！！,Я хочу играть! Играть! Играть!,放我出去玩出去玩出去玩嘛！！！,"놀고 싶어, 놀고 싶어!!",
,,, , , , ,
,,,モーリィ・リースの誕生日パーティへようこそ！,Я хочу «Феерию Дня Рождения Молли Райсс»!,“哇～谢谢你们来参加莫莉·莉斯的生日派对！,몰리 리스의 생일 파티에 어서 와!,
,,,みんな楽しんでいってね！,"Я хочу, чтобы вы все ВЕСЕЛИЛИСЬ!",好了，接下来大家自己玩得开心点哦！”,다들 즐겁게 놀아!,
,,, , , , ,
,,,じゃダメ？？　もうホント嫌,Да ну же! Это так чертовски тупо!,这不就行了吗？？真的是够了……,이러면 안 돼? 이제 다 질렸어,
,,,こんなことばかり言いたくて,"Я стала президентом не для того, чтобы",我又不是为了整天念这种东西,이런 말이나 하려고,
,,,大統領になったわけじゃないのに,нести всю эту скучную чушь!,才当总统的！,대통령이 된 게 아닌데……,
,,, , , , ,
,,,助けてベン！！！,"Помоги мне, Бен! Ты моя единственная надежда!",快来救救我呀班恩！！！,"벤, 도와줘!!",
pc664,,,サムへ,"Дорогой Сэм,",萨姆：,샘에게,
,,, , , , ,
,,,連絡ありがとう。,"Спасибо, что вышел на связь.",谢谢你给我写信。,연락 고마워.,
,,, , , , ,
,,,じつは、「自然」とか「死」とかどうでもいいの。,"Мне плевать, умру я естественной смертью или как там ещё.",其实自不自然、死不死的，我真的无所谓。,"사실 ""자연""이니 ""죽음""이니, 다 상관없어.",
,,,「大統領モーリィ・リース」なんて面倒な仕事,Я просто больше не хочу быть президентом.,我只想尽快把“莉斯总统”这麻烦头衔扔了，,몰리 리스 대통령 같은 귀찮은 자리를,
,,,ほっぽりだして、ただのモーリィに戻りたい。,Я это ненавижу. Я просто хочу снова быть скучной старой «Молли».,变回单纯的莫莉而已。,내팽개치고 평범한 몰리로 되돌아가고 싶어.,
,,,それだけなの。,"Но они ведь не дадут мне уйти на покой?",真的仅此而已。,그것뿐이야.,
,,, , , , ,
,,,でも、みんな私の引退なんて、認めないでしょう？,"Всё, о чём я думаю, — это моя маленькая ворона... Настоящая.",可是，大家肯定不会同意我引退的吧？,하지만 누구도 내 은퇴를 바라지 않겠지?,
,,, , , , ,
,,,ああ。わたしの本物のカラスちゃん。,"Не могу дождаться, чтобы узнать, о чём бы мы поговорим, когда",唉，我的小乌鸦……好想念真正的他。,아. 우리 귀여운 까마귀가 보고 싶어.,
,,,向こうで逢えたら、どんなことを話しましょう。,встретимся на той стороне.,如果在那边见到他了，我要和他聊什么呢？,천국으로 가면 무슨 이야기를 할까.,
,,,楽しみだわ。,"Хотя, знаешь, что я узнала?",一想到这个，我都快等不及了。,정말 기대돼.,
,,, , , , ,
,,,ベンは私を裏切って義体化しちゃったみたいだけどね。,"Бен автоматизировался у меня за спиной, вот же гад.",虽然听说班恩已经背叛我，把自己给义体化了啦。,벤은 날 배신하고 의체를 선택한 것 같지만.,
,,,（まだ許してないわ。ほんと、信じられない！）,(Представляешь? Я его ещё не простила.),（我还没原谅他呢！真是的，他怎么能这样！）,"(여전히 용서할 마음은 없어, 정말 실망이야!)",
,,, , , , ,
,,,モーリィ,Молли,莫莉,몰리,
,,,---,...,---,---,
,,,> モーリィへ,">Дорогая Молли,",> 莫莉：,> 몰리에게,
,,,>,>,>,>,
